token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
wary,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
pirate,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
studios,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
expr,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
transferring,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
conquest,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
francisco,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
loaded,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
burleson,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
ward,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
illustrations,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
namedexpr,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
modelurl,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
compile,0,102,102,-0.009846727047003512,-0.08119819136284351,Tennessee,Tennessee_vs_rest,376,68291
intricate,1,337,338,-0.0054122642814427024,-0.08130397014704631,Tennessee,Tennessee_vs_rest,376,68291
guess,3,727,730,-0.0036889256818462,-0.08146285220453928,Tennessee,Tennessee_vs_rest,376,68291
miss,4,911,915,-0.003296812863686327,-0.08151382336368722,Tennessee,Tennessee_vs_rest,376,68291
individuals,7,1444,1451,-0.002619479179410078,-0.08156872300936599,Tennessee,Tennessee_vs_rest,376,68291
defendant,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
fred,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
soap,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
offices,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
lightweight,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
sweden,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
elasticity,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
tranquility,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
operates,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
limitation,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
resonates,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
gathers,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
gadgets,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
renewable,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
sandwich,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
ooh,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
broadcast,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
ruby,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
ces,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
panting,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
nineteenth,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
males,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
shores,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
horseshoe,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
simulated,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
residential,0,103,103,-0.009846728647419312,-0.08159526416305683,Tennessee,Tennessee_vs_rest,376,68291
package,2,538,540,-0.0042965107117627355,-0.0815957268240098,Tennessee,Tennessee_vs_rest,376,68291
defined,2,538,540,-0.0042965107117627355,-0.0815957268240098,Tennessee,Tennessee_vs_rest,376,68291
puts,1,338,339,-0.005425337691931986,-0.0816206580320114,Tennessee,Tennessee_vs_rest,376,68291
reduced,1,338,339,-0.005425337691931986,-0.0816206580320114,Tennessee,Tennessee_vs_rest,376,68291
illegal,2,539,541,-0.004306762467361835,-0.08186597758525234,Tennessee,Tennessee_vs_rest,376,68291
world,49,8335,8384,-0.0010940929368663532,-0.08191513498315733,Tennessee,Tennessee_vs_rest,376,68291
easier,1,339,340,-0.005438334265543077,-0.08193659054384574,Tennessee,Tennessee_vs_rest,376,68291
wellness,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
kawaii,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
mushroom,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
tier,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
maid,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
sketch,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
weekdate,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
adequate,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
selfimagefolder,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
jokingly,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
romans,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
acknowledging,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
metals,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
andrew,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
assessments,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
popularity,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
churches,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
youd,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
nightwing,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
earths,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
tray,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
spheres,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
altered,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
npc,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
clubs,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
gerald,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
shells,0,104,104,-0.009846730247836888,-0.08199041425134711,Tennessee,Tennessee_vs_rest,376,68291
wrote,2,540,542,-0.004316976434083131,-0.08213579924136898,Tennessee,Tennessee_vs_rest,376,68291
officer,2,540,542,-0.004316976434083131,-0.08213579924136898,Tennessee,Tennessee_vs_rest,376,68291
surrounded,1,340,341,-0.005451254677769413,-0.08225177228194734,Tennessee,Tennessee_vs_rest,376,68291
glitter,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
interpretations,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
chronic,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
adept,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
realities,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
thrive,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
usrlocalshareconfigyarnglobalnodemodulesnextdistcompilednextserverapppageruntimeprodjs,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
distress,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
compression,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
chinas,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
littlegpt,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
touches,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
cursor,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
immigration,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
assessing,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
dealer,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
innocence,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
contest,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
zipper,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
doctrine,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
necrohemoth,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
basement,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
modification,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
coherent,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
chemicals,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
ego,0,105,105,-0.009846731848254464,-0.08238366929434505,Tennessee,Tennessee_vs_rest,376,68291
