token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
edition,4,121,125,0.046976231314783234,0.43214047726855065,New Hampshire,New Hampshire_vs_rest,344,68873
ice,11,900,911,0.017407751046066622,0.4302764104648896,New Hampshire,New Hampshire_vs_rest,344,68873
doki,5,198,203,0.03607225066783748,0.422151607856496,New Hampshire,New Hampshire_vs_rest,344,68873
shrek,6,295,301,0.029102912072289655,0.4142713405118538,New Hampshire,New Hampshire_vs_rest,344,68873
winners,2,34,36,0.08158580270586491,0.40489604198927176,New Hampshire,New Hampshire_vs_rest,344,68873
cast,12,1232,1244,0.013784907106119348,0.39792677865091586,New Hampshire,New Hampshire_vs_rest,344,68873
barney,2,37,39,0.07533361112893111,0.3887716426074813,New Hampshire,New Hampshire_vs_rest,344,68873
blossom,3,86,89,0.04949772618059356,0.3843638688531152,New Hampshire,New Hampshire_vs_rest,344,68873
fairly,4,157,161,0.036389450193970774,0.37927783269338083,New Hampshire,New Hampshire_vs_rest,344,68873
story,29,7046,7075,0.005495678733669074,0.3778171696442642,New Hampshire,New Hampshire_vs_rest,344,68873
minions,2,40,42,0.0699652710470744,0.3743954074694127,New Hampshire,New Hampshire_vs_rest,344,68873
hop,4,162,166,0.03528018721025106,0.37331684958255795,New Hampshire,New Hampshire_vs_rest,344,68873
transcript,5,253,258,0.02828003442541238,0.37264712740193523,New Hampshire,New Hampshire_vs_rest,344,68873
docker,2,43,45,0.06530567130703346,0.3614716811336109,New Hampshire,New Hampshire_vs_rest,344,68873
russell,2,44,46,0.06388622454684523,0.3574452694215212,New Hampshire,New Hampshire_vs_rest,344,68873
disney,5,279,284,0.0256426496719655,0.3543612463646257,New Hampshire,New Hampshire_vs_rest,344,68873
animated,5,300,305,0.023839426924682883,0.34130590205590383,New Hampshire,New Hampshire_vs_rest,344,68873
freak,2,49,51,0.05761661100343929,0.3391094785015205,New Hampshire,New Hampshire_vs_rest,344,68873
anniversary,5,310,315,0.023064932475177713,0.33554539354459373,New Hampshire,New Hampshire_vs_rest,344,68873
movies,6,445,451,0.019238793597441628,0.3346886940476756,New Hampshire,New Hampshire_vs_rest,344,68873
guests,3,118,121,0.03631313333900721,0.32811055760052715,New Hampshire,New Hampshire_vs_rest,344,68873
hours,10,1248,1258,0.011249704567733332,0.32643019889092195,New Hampshire,New Hampshire_vs_rest,344,68873
hotel,5,349,354,0.02046107896714311,0.31542140354772263,New Hampshire,New Hampshire_vs_rest,344,68873
luna,6,516,522,0.016541028145448777,0.3094441378565744,New Hampshire,New Hampshire_vs_rest,344,68873
peanuts,2,60,62,0.04735692090023669,0.3068293411114172,New Hampshire,New Hampshire_vs_rest,344,68873
harbor,2,61,63,0.04660058645845844,0.3043182522530681,New Hampshire,New Hampshire_vs_rest,344,68873
robots,3,139,142,0.0308741905278751,0.30194506885627814,New Hampshire,New Hampshire_vs_rest,344,68873
vhs,2,62,64,0.04586771713684357,0.30186568830508326,New Hampshire,New Hampshire_vs_rest,344,68873
episodes,3,142,145,0.030225175127760906,0.2986730269995845,New Hampshire,New Hampshire_vs_rest,344,68873
films,6,578,584,0.01472040109201167,0.2911934906209301,New Hampshire,New Hampshire_vs_rest,344,68873
job,11,1861,1872,0.008150933583760178,0.28836859390304953,New Hampshire,New Hampshire_vs_rest,344,68873
bubbles,3,159,162,0.0269994660930859,0.2818587553880071,New Hampshire,New Hampshire_vs_rest,344,68873
video,11,1944,1955,0.007777786795092112,0.2811838675817934,New Hampshire,New Hampshire_vs_rest,344,68873
thanksgiving,2,73,75,0.039088028985872825,0.2781818127928803,New Hampshire,New Hampshire_vs_rest,344,68873
plugin,2,73,75,0.039088028985872825,0.2781818127928803,New Hampshire,New Hampshire_vs_rest,344,68873
lion,3,165,168,0.026016181209177702,0.27653394712663326,New Hampshire,New Hampshire_vs_rest,344,68873
bob,4,295,299,0.01934883060756931,0.27407728134902054,New Hampshire,New Hampshire_vs_rest,344,68873
george,4,300,304,0.0190209289701464,0.27166152366383367,New Hampshire,New Hampshire_vs_rest,344,68873
booty,1,19,20,0.07345543467849858,0.2713877614483894,New Hampshire,New Hampshire_vs_rest,344,68873
thomas,5,467,472,0.015196581478598148,0.27027524016016047,New Hampshire,New Hampshire_vs_rest,344,68873
united,12,2455,2467,0.006637365783042526,0.2695005265761274,New Hampshire,New Hampshire_vs_rest,344,68873
preface,1,20,21,0.06996502963272988,0.264736617992985,New Hampshire,New Hampshire_vs_rest,344,68873
cruiser,1,20,21,0.06996502963272988,0.264736617992985,New Hampshire,New Hampshire_vs_rest,344,68873
misty,1,20,21,0.06996502963272988,0.264736617992985,New Hampshire,New Hampshire_vs_rest,344,68873
troopers,1,20,21,0.06996502963272988,0.264736617992985,New Hampshire,New Hampshire_vs_rest,344,68873
bolt,2,82,84,0.03485438783959793,0.2623375502511359,New Hampshire,New Hampshire_vs_rest,344,68873
emoji,2,83,85,0.03443901908799596,0.2607323686699719,New Hampshire,New Hampshire_vs_rest,344,68873
collection,5,501,506,0.014134263684468351,0.2602330721007778,New Hampshire,New Hampshire_vs_rest,344,68873
advertiser,1,21,22,0.06678874310830984,0.2585410144979035,New Hampshire,New Hampshire_vs_rest,344,68873
wyatt,1,21,22,0.06678874310830984,0.2585410144979035,New Hampshire,New Hampshire_vs_rest,344,68873
bugs,2,86,88,0.033249250634517225,0.25608006839328523,New Hampshire,New Hampshire_vs_rest,344,68873
police,7,992,999,0.009841047958719429,0.2544090739740652,New Hampshire,New Hampshire_vs_rest,344,68873
voice,10,1938,1948,0.007039825247348475,0.254018014344723,New Hampshire,New Hampshire_vs_rest,344,68873
sponsorship,1,22,23,0.06388598334434725,0.25275101964570634,New Hampshire,New Hampshire_vs_rest,344,68873
lego,2,89,91,0.032137521463933894,0.25165686552762145,New Hampshire,New Hampshire_vs_rest,344,68873
distributed,3,201,204,0.021326837032408008,0.24961082954186126,New Hampshire,New Hampshire_vs_rest,344,68873
welcomes,1,23,24,0.06122286581886094,0.24732404453616236,New Hampshire,New Hampshire_vs_rest,344,68873
sponsors,1,23,24,0.06122286581886094,0.24732404453616236,New Hampshire,New Hampshire_vs_rest,344,68873
telling,4,363,367,0.015652865725131804,0.2454983542788155,New Hampshire,New Hampshire_vs_rest,344,68873
escort,1,24,25,0.05877088246557527,0.24222351059154318,New Hampshire,New Hampshire_vs_rest,344,68873
veggietales,1,24,25,0.05877088246557527,0.24222351059154318,New Hampshire,New Hampshire_vs_rest,344,68873
theaters,1,24,25,0.05877088246557527,0.24222351059154318,New Hampshire,New Hampshire_vs_rest,344,68873
abby,2,97,99,0.029500735963921443,0.24084816870938908,New Hampshire,New Hampshire_vs_rest,344,68873
dreamworks,1,25,26,0.05650587572872112,0.23741780134381252,New Hampshire,New Hampshire_vs_rest,344,68873
gacha,1,25,26,0.05650587572872112,0.23741780134381252,New Hampshire,New Hampshire_vs_rest,344,68873
speeding,1,25,26,0.05650587572872112,0.23741780134381252,New Hampshire,New Hampshire_vs_rest,344,68873
releases,2,102,104,0.028057803145843607,0.23472692515214807,New Hampshire,New Hampshire_vs_rest,344,68873
powerpuff,1,26,27,0.05440723896579769,0.23287942928710267,New Hampshire,New Hampshire_vs_rest,344,68873
moody,1,26,27,0.05440723896579769,0.23287942928710267,New Hampshire,New Hampshire_vs_rest,344,68873
trinity,1,26,27,0.05440723896579769,0.23287942928710267,New Hampshire,New Hampshire_vs_rest,344,68873
gru,1,26,27,0.05440723896579769,0.23287942928710267,New Hampshire,New Hampshire_vs_rest,344,68873
broadcast,2,104,106,0.02751857401818114,0.23239880501989368,New Hampshire,New Hampshire_vs_rest,344,68873
house,10,2293,2303,0.005855617827560167,0.22969045834598548,New Hampshire,New Hampshire_vs_rest,344,68873
bee,3,237,240,0.0180400595123551,0.22889380781021446,New Hampshire,New Hampshire_vs_rest,344,68873
preschool,1,27,28,0.05245728699071783,0.22858436753121744,New Hampshire,New Hampshire_vs_rest,344,68873
falls,4,420,424,0.013466032209958456,0.22692858290022527,New Hampshire,New Hampshire_vs_rest,344,68873
liveaction,1,28,29,0.05064075595831952,0.22451150907425213,New Hampshire,New Hampshire_vs_rest,344,68873
martha,1,28,29,0.05064075595831952,0.22451150907425213,New Hampshire,New Hampshire_vs_rest,344,68873
supplements,1,28,29,0.05064075595831952,0.22451150907425213,New Hampshire,New Hampshire_vs_rest,344,68873
age,10,2400,2410,0.005567039303131516,0.22337540861261124,New Hampshire,New Hampshire_vs_rest,344,68873
consulting,2,113,115,0.02532318250106691,0.22267378522553882,New Hampshire,New Hampshire_vs_rest,344,68873
advertising,4,442,446,0.012771168666594335,0.2207066016105238,New Hampshire,New Hampshire_vs_rest,344,68873
cache,2,115,117,0.024880997891042256,0.22066411326239907,New Hampshire,New Hampshire_vs_rest,344,68873
helpful,4,445,449,0.01268167888622962,0.21989270143860018,New Hampshire,New Hampshire_vs_rest,344,68873
builds,2,116,118,0.024665503764202512,0.2196781742940185,New Hampshire,New Hampshire_vs_rest,344,68873
families,4,457,461,0.01233534227281119,0.21671448068668717,New Hampshire,New Hampshire_vs_rest,344,68873
putting,4,468,472,0.01203330510844225,0.21390488609686534,New Hampshire,New Hampshire_vs_rest,344,68873
spongebob,6,1046,1052,0.007891575537499307,0.20928629822031355,New Hampshire,New Hampshire_vs_rest,344,68873
hedge,1,33,34,0.04315008369915674,0.20689642196433547,New Hampshire,New Hampshire_vs_rest,344,68873
street,5,761,766,0.009123607019466462,0.20650865876785976,New Hampshire,New Hampshire_vs_rest,344,68873
feature,4,501,505,0.011205988537270173,0.20601637395843236,New Hampshire,New Hampshire_vs_rest,344,68873
rusty,1,34,35,0.0419070753535582,0.20383018525670057,New Hampshire,New Hampshire_vs_rest,344,68873
jamie,1,34,35,0.0419070753535582,0.20383018525670057,New Hampshire,New Hampshire_vs_rest,344,68873
curious,4,539,543,0.01037766163780951,0.197809095852841,New Hampshire,New Hampshire_vs_rest,344,68873
monsters,3,312,315,0.013599941262615545,0.19754609939590637,New Hampshire,New Hampshire_vs_rest,344,68873
network,6,1176,1182,0.006953157141486699,0.19543070541418642,New Hampshire,New Hampshire_vs_rest,344,68873
newsletter,1,37,38,0.03856817377003985,0.19536177151613726,New Hampshire,New Hampshire_vs_rest,344,68873
babe,1,37,38,0.03856817377003985,0.19536177151613726,New Hampshire,New Hampshire_vs_rest,344,68873
judy,1,37,38,0.03856817377003985,0.19536177151613726,New Hampshire,New Hampshire_vs_rest,344,68873
debut,1,38,39,0.03756867333095393,0.19275616909682983,New Hampshire,New Hampshire_vs_rest,344,68873
potatoes,1,38,39,0.03756867333095393,0.19275616909682983,New Hampshire,New Hampshire_vs_rest,344,68873
free,9,2537,2546,0.004646910324296982,0.19161520655077144,New Hampshire,New Hampshire_vs_rest,344,68873
squarepants,2,151,153,0.0188922881441016,0.19141715579899535,New Hampshire,New Hampshire_vs_rest,344,68873
game,11,3634,3645,0.0038728598925112934,0.1910562923035765,New Hampshire,New Hampshire_vs_rest,344,68873
splash,1,39,40,0.036618855201988154,0.19024778715027635,New Hampshire,New Hampshire_vs_rest,344,68873
hero,5,897,902,0.007651740440985932,0.18789514507169508,New Hampshire,New Hampshire_vs_rest,344,68873
kung,1,40,41,0.03571510446962911,0.18783067695183542,New Hampshire,New Hampshire_vs_rest,344,68873
christmas,5,915,920,0.007489499394420562,0.18573217717979124,New Hampshire,New Hampshire_vs_rest,344,68873
pictures,3,350,353,0.012068934131292508,0.1855340387417805,New Hampshire,New Hampshire_vs_rest,344,68873
kingdom,5,924,929,0.007410733361286503,0.1846731899439462,New Hampshire,New Hampshire_vs_rest,344,68873
rescue,2,162,164,0.017585278455285902,0.18442914047336137,New Hampshire,New Hampshire_vs_rest,344,68873
dollhouse,1,42,43,0.03403301807463954,0.1832489143355446,New Hampshire,New Hampshire_vs_rest,344,68873
danny,1,43,44,0.033249011656431904,0.18107465140911658,New Hampshire,New Hampshire_vs_rest,344,68873
rabbit,2,168,170,0.016943452160088412,0.18090034132973595,New Hampshire,New Hampshire_vs_rest,344,68873
wild,3,369,372,0.011420493751515437,0.1802094333503751,New Hampshire,New Hampshire_vs_rest,344,68873
juliet,1,44,45,0.03249966719164732,0.17897235327201766,New Hampshire,New Hampshire_vs_rest,344,68873
presidents,1,44,45,0.03249966719164732,0.17897235327201766,New Hampshire,New Hampshire_vs_rest,344,68873
fifth,2,173,175,0.01644212309917492,0.17809613672487454,New Hampshire,New Hampshire_vs_rest,344,68873
