covariate,topic,spearman_rho_recomputed,p_value_recomputed,fdr_q_value_recomputed,n_states_recomputed,spearman_rho_c,p_value_c,fdr_q_value_c,n_states_c,rho_abs_diff,p_abs_diff,q_abs_diff
education,topic_0,-0.06916538785005052,0.6885473915247833,0.8320828312501882,36,-0.0691653878500505,0.6885473915247833,0.8320828312501882,36,2.7755575615628914e-17,0.0,0.0
education,topic_1,0.06666902877100545,0.6992542920519768,0.8320828312501882,36,0.0666690287710054,0.6992542920519768,0.8320828312501882,36,4.163336342344337e-17,0.0,0.0
education,topic_10,-0.07663050322115368,0.6568902837595116,0.8320828312501882,36,-0.0766305032211536,0.6568902837595116,0.8320828312501882,36,8.326672684688674e-17,0.0,0.0
education,topic_11,-0.05998807618428615,0.7281862838766359,0.8320828312501882,36,-0.0599880761842861,0.7281862838766359,0.8320828312501882,36,4.85722573273506e-17,0.0,0.0
education,topic_12,-0.0012889099048221488,0.9940474184855972,0.9940474184855973,36,-0.0012889099048221,0.9940474184855972,0.9940474184855972,36,4.87890977618477e-17,0.0,1.1102230246251565e-16
education,topic_13,0.3712652514807285,0.02579184727476573,0.3266967321470326,36,0.3712652514807285,0.0257918472747657,0.3266967321470326,36,0.0,3.122502256758253e-17,0.0
education,topic_14,-0.0432599462836173,0.8021879157404734,0.8351545424147395,36,-0.0432599462836173,0.8021879157404734,0.8351545424147395,36,0.0,0.0,0.0
education,topic_15,0.01572430573500589,0.9274753438007056,0.9525422449845085,36,0.0157243057350058,0.9274753438007056,0.9525422449845083,36,9.020562075079397e-17,0.0,1.1102230246251565e-16
education,topic_16,0.18135178950735792,0.2898194125063779,0.6627750968129021,36,0.1813517895073579,0.2898194125063779,0.6627750968129021,36,2.7755575615628914e-17,0.0,0.0
education,topic_17,0.15431186980748923,0.3688686282814048,0.6833690266844745,36,0.1543118698074892,0.3688686282814048,0.6833690266844745,36,2.7755575615628914e-17,0.0,0.0
education,topic_18,-0.07236573562674548,0.6749080369961273,0.8320828312501882,36,-0.0723657356267454,0.6749080369961273,0.8320828312501882,36,6.938893903907228e-17,0.0,0.0
education,topic_19,-0.0072132426621196975,0.9666959786390613,0.9795852583542487,36,-0.0072132426621196,0.9666959786390612,0.9795852583542488,36,9.71445146547012e-17,1.1102230246251565e-16,1.1102230246251565e-16
education,topic_2,0.19001029866117405,0.26700907562713166,0.6627750968129021,36,0.190010298661174,0.2670090756271316,0.6627750968129021,36,5.551115123125783e-17,5.551115123125783e-17,0.0
education,topic_20,0.04636785777657018,0.7882889980264941,0.8320828312501882,36,0.0463678577765701,0.7882889980264941,0.8320828312501882,36,8.326672684688674e-17,0.0,0.0
education,topic_21,0.047527054220984445,0.7831211391585909,0.8320828312501882,36,0.0475270542209844,0.7831211391585909,0.8320828312501882,36,4.85722573273506e-17,0.0,0.0
education,topic_22,0.14841990118918305,0.3876480605008952,0.6833690266844745,36,0.148419901189183,0.3876480605008952,0.6833690266844745,36,5.551115123125783e-17,0.0,0.0
education,topic_23,0.19634350619796542,0.2510926753561917,0.6627750968129021,36,0.1963435061979654,0.2510926753561917,0.6627750968129021,36,2.7755575615628914e-17,0.0,0.0
education,topic_24,0.06908355972210066,0.688897423233895,0.8320828312501882,36,0.0690835597221006,0.688897423233895,0.8320828312501882,36,5.551115123125783e-17,0.0,0.0
education,topic_25,0.27440609375604585,0.10531993297947637,0.6157165312646311,36,0.2744060937560458,0.1053199329794763,0.6157165312646311,36,5.551115123125783e-17,6.938893903907228e-17,0.0
education,topic_26,0.26136450644952847,0.12362209975581932,0.6497040315262005,36,0.2613645064495284,0.1236220997558193,0.6497040315262005,36,5.551115123125783e-17,2.7755575615628914e-17,0.0
education,topic_27,0.19470838517394856,0.25514005192598643,0.6627750968129021,36,0.1947083851739485,0.2551400519259864,0.6627750968129021,36,5.551115123125783e-17,5.551115123125783e-17,0.0
education,topic_28,0.06571661407427679,0.7033544413059205,0.8320828312501882,36,0.0657166140742767,0.7033544413059205,0.8320828312501882,36,8.326672684688674e-17,0.0,0.0
education,topic_29,0.18268013296432653,0.286241021647327,0.6627750968129021,36,0.1826801329643265,0.286241021647327,0.6627750968129021,36,2.7755575615628914e-17,0.0,0.0
education,topic_3,0.17841282137745684,0.2978383985175308,0.6627750968129021,36,0.1784128213774568,0.2978383985175308,0.6627750968129021,36,5.551115123125783e-17,0.0,0.0
education,topic_30,-0.1491826502254021,0.3851860938433381,0.6833690266844745,36,-0.1491826502254021,0.3851860938433381,0.6833690266844745,36,0.0,0.0,0.0
education,topic_31,-0.05148999173952579,0.7655239798087616,0.8320828312501882,36,-0.0514899917395257,0.7655239798087616,0.8320828312501882,36,8.326672684688674e-17,0.0,0.0
education,topic_32,-0.1459647328348628,0.3956346996594326,0.6833690266844745,36,-0.1459647328348628,0.3956346996594326,0.6833690266844745,36,0.0,0.0,0.0
education,topic_33,-0.20698557551388677,0.22579795165570332,0.6627750968129021,36,-0.2069855755138867,0.2257979516557033,0.6627750968129021,36,8.326672684688674e-17,2.7755575615628914e-17,0.0
education,topic_34,-0.1828954390075824,0.28566371076941677,0.6627750968129021,36,-0.1828954390075824,0.2856637107694167,0.6627750968129021,36,0.0,5.551115123125783e-17,0.0
education,topic_35,-0.22353092663921628,0.19002423956091796,0.6627750968129021,36,-0.2235309266392162,0.1900242395609179,0.6627750968129021,36,8.326672684688674e-17,5.551115123125783e-17,0.0
education,topic_36,0.3439439593301266,0.03997849593337541,0.37979571136706636,36,0.3439439593301266,0.0399784959333754,0.3797957113670663,36,0.0,6.938893903907228e-18,5.551115123125783e-17
education,topic_37,-0.13555612770339856,0.4305321306184127,0.6961796154680716,36,-0.1355561277033985,0.4305321306184127,0.6961796154680716,36,5.551115123125783e-17,0.0,0.0
education,topic_38,-0.17721367766599894,0.3011505363736312,0.6627750968129021,36,-0.1772136776659989,0.3011505363736312,0.6627750968129021,36,2.7755575615628914e-17,0.0,0.0
education,topic_39,-0.18585782992108552,0.2777968559864843,0.6627750968129021,36,-0.1858578299210855,0.2777968559864843,0.6627750968129021,36,2.7755575615628914e-17,0.0,0.0
education,topic_4,0.1924910095752337,0.26069751407283714,0.6627750968129021,36,0.1924910095752337,0.2606975140728371,0.6627750968129021,36,0.0,5.551115123125783e-17,0.0
education,topic_40,-0.06212144918909927,0.718905170357621,0.8320828312501882,36,-0.0621214491890992,0.718905170357621,0.8320828312501882,36,7.632783294297951e-17,0.0,0.0
education,topic_41,0.04649376772873206,0.7877272386324274,0.8320828312501882,36,0.046493767728732,0.7877272386324274,0.8320828312501882,36,6.245004513516506e-17,0.0,0.0
education,topic_42,0.18588484292001697,0.27772577567567,0.6627750968129021,36,0.1858848429200169,0.27772577567567,0.6627750968129021,36,8.326672684688674e-17,0.0,0.0
education,topic_43,0.2566993379990658,0.13071378486356477,0.6497040315262005,36,0.2566993379990658,0.1307137848635647,0.6497040315262005,36,0.0,8.326672684688674e-17,0.0
education,topic_44,-0.05119041928979565,0.7668503011262586,0.8320828312501882,36,-0.0511904192897956,0.7668503011262586,0.8320828312501882,36,4.85722573273506e-17,0.0,0.0
education,topic_45,0.04782000797600557,0.7818165466082913,0.8320828312501882,36,0.0478200079760055,0.7818165466082913,0.8320828312501882,36,6.938893903907228e-17,0.0,0.0
education,topic_46,0.1666925778857394,0.3312102412922492,0.6803237388705659,36,0.1666925778857394,0.3312102412922492,0.6803237388705659,36,0.0,0.0,0.0
education,topic_47,0.12362536151681838,0.4725494273852024,0.732933805740314,36,0.1236253615168183,0.4725494273852024,0.732933805740314,36,8.326672684688674e-17,0.0,0.0
education,topic_48,0.19240157195500684,0.26092333842136484,0.6627750968129021,36,0.1924015719550068,0.2609233384213648,0.6627750968129021,36,5.551115123125783e-17,5.551115123125783e-17,0.0
education,topic_49,0.1720117831807987,0.3157887060437331,0.6666650460923255,36,0.1720117831807987,0.3157887060437331,0.6666650460923255,36,0.0,0.0,0.0
education,topic_5,-0.14038387532842103,0.4141384474649834,0.6842287392899725,36,-0.140383875328421,0.4141384474649834,0.6842287392899725,36,2.7755575615628914e-17,0.0,0.0
education,topic_50,0.24764610926549183,0.14532853336770274,0.6497040315262005,36,0.2476461092654918,0.1453285333677027,0.6497040315262005,36,2.7755575615628914e-17,2.7755575615628914e-17,0.0
education,topic_51,0.4318185517826768,0.0085432279388162,0.12985706467000624,36,0.4318185517826768,0.0085432279388162,0.1298570646700062,36,0.0,0.0,2.7755575615628914e-17
education,topic_52,-0.2896850674394713,0.08657775691910626,0.5483257938210063,36,-0.2896850674394713,0.0865777569191062,0.5483257938210063,36,0.0,5.551115123125783e-17,0.0
education,topic_53,0.43991920994046946,0.0072573271370438225,0.12985706467000624,36,0.4399192099404694,0.0072573271370438,0.1298570646700062,36,5.551115123125783e-17,2.2551405187698492e-17,2.7755575615628914e-17
education,topic_54,0.29453935173192575,0.08119663156933243,0.5483257938210063,36,0.2945393517319257,0.0811966315693324,0.5483257938210063,36,5.551115123125783e-17,2.7755575615628914e-17,0.0
education,topic_55,0.046446261971296136,0.7879391777773176,0.8320828312501882,36,0.0464462619712961,0.7879391777773176,0.8320828312501882,36,3.469446951953614e-17,0.0,0.0
education,topic_56,-0.16034725582791193,0.35020382526537264,0.6833690266844745,36,-0.1603472558279119,0.3502038252653726,0.6833690266844745,36,2.7755575615628914e-17,5.551115123125783e-17,0.0
education,topic_57,0.09680127724059769,0.5743669991853415,0.8320828312501882,36,0.0968012772405976,0.5743669991853415,0.8320828312501882,36,8.326672684688674e-17,0.0,0.0
education,topic_58,0.09998610582937122,0.561778670993532,0.8320828312501882,36,0.0999861058293712,0.561778670993532,0.8320828312501882,36,1.3877787807814457e-17,0.0,0.0
education,topic_59,0.19046860973130822,0.26583552378366354,0.6627750968129021,36,0.1904686097313082,0.2658355237836635,0.6627750968129021,36,2.7755575615628914e-17,5.551115123125783e-17,0.0
education,topic_6,-0.2974834272751102,0.07806163439421551,0.5483257938210063,36,-0.2974834272751102,0.0780616343942155,0.5483257938210063,36,0.0,1.3877787807814457e-17,0.0
education,topic_60,0.4392482235498106,0.007357135075969218,0.12985706467000624,36,0.4392482235498106,0.0073571350759692,0.1298570646700062,36,0.0,1.8214596497756474e-17,2.7755575615628914e-17
education,topic_61,0.14106349631582926,0.41185933313392553,0.6842287392899725,36,0.1410634963158292,0.4118593331339255,0.6842287392899725,36,5.551115123125783e-17,5.551115123125783e-17,0.0
education,topic_62,0.353907215209371,0.03421093053688065,0.3714329601147042,36,0.353907215209371,0.0342109305368806,0.3714329601147042,36,0.0,4.85722573273506e-17,0.0
education,topic_63,0.5328603693040082,0.0008203563370503137,0.046365477345952685,36,0.5328603693040082,0.0008203563370503,0.0463654773459526,36,0.0,1.3769367590565906e-17,8.326672684688674e-17
education,topic_64,-0.5177551087670571,0.0012201441406829653,0.046365477345952685,36,-0.5177551087670571,0.0012201441406829,0.0463654773459526,36,0.0,6.526897078362737e-17,8.326672684688674e-17
education,topic_65,0.06453882746546594,0.7084362237252199,0.8320828312501882,36,0.0645388274654659,0.7084362237252199,0.8320828312501882,36,4.163336342344337e-17,0.0,0.0
education,topic_66,-0.12676830258521418,0.46127637807902155,0.7303542652917842,36,-0.1267683025852141,0.4612763780790215,0.7303542652917842,36,8.326672684688674e-17,5.551115123125783e-17,0.0
education,topic_67,0.15020940359834695,0.38188643983488074,0.6833690266844745,36,0.1502094035983469,0.3818864398348807,0.6833690266844745,36,5.551115123125783e-17,5.551115123125783e-17,0.0
education,topic_68,0.17574985340031277,0.30522537353225754,0.6627750968129021,36,0.1757498534003127,0.3052253735322575,0.6627750968129021,36,5.551115123125783e-17,5.551115123125783e-17,0.0
