state,topic,topic_proportion,topic_zscore,rank_within_topic_desc
Alabama,topic_merged_0,0.03225806451612903,-0.3058723337305128,15.0
Arizona,topic_merged_0,0.09348914858096827,0.3936807576627407,8.0
Arkansas,topic_merged_0,0.01680672268907563,-0.482400874852586,18.0
California,topic_merged_0,0.2526744778400407,2.212341832970773,4.0
Colorado,topic_merged_0,0.012295081967213115,-0.5339454826679971,23.0
Connecticut,topic_merged_0,0.000984898227183191,-0.6631621072044064,31.0
District of Columbia,topic_merged_0,0.09836065573770492,0.4493367687114882,7.0
Florida,topic_merged_0,0.015931372549019607,-0.49240157802287887,19.0
Georgia,topic_merged_0,0.015253203172666261,-0.5001495297529812,20.0
Illinois,topic_merged_0,0.15587529976019188,1.1064302636381471,5.0
Indiana,topic_merged_0,0.0,-0.6744143757222093,33.0
Iowa,topic_merged_0,0.045454545454545456,-0.1551051347339097,13.0
Kansas,topic_merged_0,0.05555555555555555,-0.03970308118095426,10.0
Kentucky,topic_merged_0,0.0,-0.6744143757222093,33.0
Louisiana,topic_merged_0,0.03488372093023256,-0.27587472566142124,14.0
Maryland,topic_merged_0,0.015,-0.5030423261960705,21.0
Massachusetts,topic_merged_0,0.008777852802160702,-0.5741291340458733,26.0
Michigan,topic_merged_0,0.00018281535648994517,-0.6723257462337738,32.0
Minnesota,topic_merged_0,0.009708737864077669,-0.5634939553169415,25.0
Missouri,topic_merged_0,0.01322314049586777,-0.5233425965256131,22.0
Nebraska,topic_merged_0,0.0,-0.6744143757222093,33.0
Nevada,topic_merged_0,0.12874251497005987,0.7964435343823757,6.0
New Jersey,topic_merged_0,0.07604562737642585,0.1943919590110676,9.0
New York,topic_merged_0,0.02036363636363636,-0.44176383575945116,17.0
North Carolina,topic_merged_0,0.00684931506849315,-0.5961622983130135,27.0
Ohio,topic_merged_0,0.011086474501108647,-0.5477535852372583,24.0
Oklahoma,topic_merged_0,0.05,-0.10317421063507971,11.0
