topic,log_odds,z_score,group1_mean,group2_mean,significant,direction
topic_7,3.0129448727170547,0.6175930047532155,0.08334055522692821,0.003447535941635076,False,high_edu
topic_13,2.55862670075677,0.5086038946674081,0.05238245464314468,0.0033046462276544314,False,high_edu
topic_2,1.0843377306090232,0.49576222996246505,0.08128814465858637,0.028108235017507765,False,high_edu
topic_3,0.8254022823991365,0.42015291726330584,0.08464351441673623,0.038006355140219175,False,high_edu
topic_47,1.1377362231642483,0.29272836788416523,0.02669555281586581,0.008000659664355227,False,high_edu
topic_29,2.189694531620159,0.27512373216418085,0.014671315226724654,0.0007760532150776053,False,high_edu
topic_24,0.7253723591970997,0.2671053688282483,0.04160830295388506,0.019946972521592107,False,high_edu
topic_4,0.6782531847319686,0.2522308371651115,0.041191930145617145,0.020718994101247692,False,high_edu
topic_63,2.297282261136294,0.21787634238166118,0.008831392318959758,0.0,False,high_edu
topic_60,2.038653970676295,0.20084438058967263,0.007428684272008861,0.00011086474501108647,False,high_edu
topic_26,0.8288650496946257,0.19788404723137684,0.018248479809617444,0.007470718441108623,False,high_edu
topic_61,1.8069307784313278,0.17517680887032136,0.00567341172725283,0.00011086474501108647,False,high_edu
topic_41,0.7809945781711756,0.15734071868705182,0.012271091751987718,0.005121610306141974,False,high_edu
topic_21,0.407365769675597,0.11717066176498095,0.02052841327474661,0.013382863843456267,False,high_edu
topic_53,0.766684480853737,0.10848174817147514,0.005442879601307739,0.0020307605673459328,False,high_edu
topic_51,0.76947832571717,0.10463663662723235,0.00495443437070813,0.0017964071856287425,False,high_edu
topic_54,0.5878484138184179,0.09058058971129326,0.005822368807786915,0.0028325942350332597,False,high_edu
topic_74,1.0008371086345358,0.0844090820435747,0.0016264206990266488,0.0,False,high_edu
topic_50,0.4651124899478374,0.08039000482772554,0.006988653942949776,0.004061622447483237,False,high_edu
topic_62,0.7326508360528816,0.08033008178004755,0.0027408020723821494,0.0008403361344537815,False,high_edu
topic_23,0.20450399776452377,0.06197396008689374,0.020407246094597063,0.01646609673577012,False,high_edu
topic_43,0.5257417040510628,0.05712849185347193,0.0022114985901481735,0.0009512008794648679,False,high_edu
topic_42,0.27775101298518834,0.05699352566348357,0.009156648472930993,0.006734874789438361,False,high_edu
topic_8,0.12214128831156712,0.05161561972115967,0.038981436189849054,0.034356831615850694,False,high_edu
topic_71,0.5583076258302402,0.0460721848721934,0.0008440881397353981,0.00011086474501108647,False,high_edu
topic_27,0.571428422675651,0.04485380375241075,0.0006723032164651474,0.0,False,high_edu
topic_67,0.37143935622049273,0.04383203775609522,0.002468846712478198,0.0014525273178698037,False,high_edu
topic_9,0.30653999713376034,0.040054675672960616,0.0031216378260084674,0.002094187327917259,False,high_edu
topic_46,0.4229931044058839,0.03396818175548299,0.0005970301384245746,0.00011086474501108647,False,high_edu
